ST160Q01IA,ST160Q02IA,ST160Q03IA,ST160Q04IA,ST160Q05IA,PV1READ,PV2READ,PV3READ,PV4READ,PV5READ,PV6READ,PV7READ,PV8READ,PV9READ,PV10READ,ISCEDL
1,1,1,1,2,411.117,445.533,391.968,450.736,439.272,455.552,467.383,452.995,460.122,477.741,3
3,3,2,4,3,581.309,551.837,594.486,486.402,523.032,579.279,570.237,530.218,537.793,542.811,3
2,2,2,4,2,529.802,557.688,564.383,521.419,608.722,556.034,586.399,539.546,584.26,550.48,3
2,2,2,3,1,587.934,555.091,569.483,543.896,585.46,555.771,536.437,549.016,529.832,548.365,3
1,1,1,3,1,345.856,396.096,379.622,346.143,390.117,399.876,364.868,341.055,325.049,327.6,3
2,2,3,3,2,429.26,343.27,409.76,403.458,408.564,459.887,435.239,415.808,433.555,359.494,3
2,2,2,3,3,561.734,599.607,604.994,592.315,614.222,613.009,551.505,599.233,599.957,567.628,3
2,2,3,4,2,644.784,612.911,595.153,610.787,620.657,598.424,633.553,550.16,566.314,596.78,3
2,2,2,3,3,592.562,565.029,575.42,608.715,539.083,547.363,586.039,576.411,591.195,548.001,3
2,1,2,2,1,375.873,356.223,341.99,361.331,342.884,362.028,363.997,325.844,380.218,335.339,3
2,2,1,3,2,536.917,518.289,517.184,486.038,513.897,514.899,526.972,542.759,539.257,563.986,3
4,3,3,4,3,496.362,490.911,502.57,493.571,449.357,504.611,499.636,467.347,487.619,496.02,3
2,1,1,1,1,512.812,529.077,530.028,518.474,506.899,503.443,500.662,579.142,504.994,518.613,3
2,1,1,1,1,410.733,452.23,456.582,382.969,409.511,438.892,455.933,413.544,428.007,422.933,3
4,2,3,1,2,309.087,350.75,356.132,357.319,328.173,327.909,332.092,363.205,350.877,332.035,3
4,4,3,4,4,475.488,510.574,490.197,470.703,500.527,501.733,507.148,494.632,486.542,475.932,3
3,2,2,2,3,375.611,386.668,372.7,362.3,374.421,396.072,392.028,380.521,365.073,379.449,3
2,2,2,3,2,554.656,490.41,503.955,482.986,522.311,529.813,542.801,504.6,544.534,513.493,3
2,4,4,2,2,267.027,258.12,224.143,278.622,248.045,260.22,287.292,253.377,255.166,270.653,2
3,3,3,3,3,435.096,414.93,427.416,423.746,409.519,444.786,451.174,432.505,427.84,438.169,3
1,1,1,1,2,642.061,653.58,593.752,670.947,590.667,664.903,652.925,605.43,621.914,624.12,3
4,4,3,4,4,634.61,697.173,725.4,706.801,658.957,628.096,605.406,651.866,651.164,634.664,3
2,2,2,3,2,385.308,339.416,384.977,333.986,335.933,330.58,340.575,355.31,401.793,384.539,3
1,1,1,2,2,397.332,390.113,442.855,374.531,399.858,443.484,381.559,429.743,441.117,409.524,3
4,4,1,4,4,536.419,494.819,511.327,520.527,481.895,496.861,502.107,498.136,528.488,500.244,3
3,2,3,3, ,581.101,571.205,632.628,639.079,619.779,616.716,588.914,621.678,601.334,607.996,3
2,1,1,1,2,580.664,610.627,547.659,554.914,580.659,604.449,547.242,577.655,579.985,562.64,3
4,4,4,4,4,708.892,681.17,737.465,720.73,707.041,683.439,755.586,662.306,734.27,745.164,3
2,2,2,3,2,630.491,681.59,658.874,605.417,621.598,660.692,669.191,638.536,620.284,617.77,3
1, ,2,2,1,595.086,576.597,615.022,598.536,558.096,660.583,593.344,617.945,596.254,603.107,3
3,4,4,4,3,706.67,663.989,715.266,639.358,738.71,720.456,713.825,687.17,715.188,676.998,3
3,2,3,4,4,502.948,588.515,557.721,529.371,521.855,532.767,516.679,555.178,540.094,581.995,3
3,2,2,3,3,545.594,539.835,571.578,541.528,523.342,560.032,535.709,561.308,552.909,522.05,3
1,1,2,2,2,591.608,560.63,567.978,573.685,602.32,595.218,579.051,585.027,598.561,578.001,3
3,4,3,4,3,513.917,566.658,482.363,507.279,556.304,502.629,526.816,520.234,484.237,576.681,3
1,1,1,1,1,519.74,565.742,539.363,497.919,553.581,544.596,555.45,495.158,527.98,516.863,3
1,1,3,2,1,554.577,562.406,580.845,618.574,576.709,535.939,531.3,557.61,583.495,547.601,3
1,1,3,1,1,540.952,561.915,551.356,558.183,615.769,530.738,567.928,552.663,530.288,544.116,3
2,2,2,3,2,540.192,510.488,577.989,538.127,556.55,555.939,572.092,552.417,538.61,551.332,3
2,1,1,2,1,642.819,650.995,604.361,675.765,633.11,595.728,655.409,569.351,577.18,528.811,3
2,3,3,3,4,446.771,421.305,476.118,483.447,500.706,499.712,480.576,441.323,445.437,514.651,3
4,3,2,4,4,607.129,573.351,600.824,548.905,565.284,570.139,613.388,615.342,593.999,603.385,3
3,3,1,4,3,772.044,696.709,646.195,691.636,706.497,726.404,636.993,688.552,707.868,693.916,3
2,2,3,3,1,574.999,519.556,612.643,640.903,570.808,565.466,549.02,568.028,535.929,552.105,3
2,2,3,3,4,537.445,503.867,539.062,529.982,528.059,541.864,530.099,534.456,504.205,508.974,3
2,2,2,3,3,606.444,572.955,607.546,651.037,682.206,596.671,661.54,636.112,621.48,636.675,3
2,2,1,4,3,670.727,637.2,645.071,698.3,695.546,739.692,671.083,646.454,748.754,698.461,3
3,2,2,4,4,408.29,481.559,493.964,498.499,466.465,454.799,469.601,435.752,493.992,497.199,3
2,1,1,2,2,649.784,622.576,589.36,609.309,585.194,634.398,659.453,621.234,657.861,658.157,3
2,2,2,3,2,568.25,547.381,595.183,569.014,601.03,570.357,551.139,520.608,580.889,597.126,3
3,3,2,3,2,591.446,610.349,640.827,630.703,597.184,572.409,625.405,589.044,618.534,582.327,3
4,4,3,4,4,582.097,666.063,591.951,628.85,572.704,576.106,651.61,650.084,604.307,642.405,3
2,1,1,3,1,453.699,435.697,404.523,405.33,412.951,416.188,442.114,425.029,433.038,411.793,3
3,1,1,3,3,523.866,543.443,560.583,499.367,542.305,517.907,518.468,540.416,533.828,533.943,3
3,2,3,4,2,511.93,537.339,512.76,498.954,501.062,478.531,510.413,495.621,492.868,522.963,3
3,3,3,3,3,714.895,673.453,648.589,689.881,639.115,649.842,626.932,704.43,678.657,656.187,3
4,4,3,4,4,688.464,655.981,757.58,728.077,658.779,761.03,661.931,693.044,693.603,694.052,3
2,2,2,3,2,574.908,570.249,539.691,535.082,626.366,558.519,558.58,539.812,535.628,587.452,3
3,3,2,4,4,595.139,675.246,630.605,630.176,658.544,678.874,660.991,622.528,686.267,713.372,3
4,4,4,4,4,623.932,619.294,575.488,608.203,647.344,631.727,650.578,655.886,557.714,561.557,3
2,2,2,3,3,568.286,624.136,596.213,589.703,600.453,597.213,612.883,606.339,550.907,604.894,3
3,3,3,3,3,415.706,456.814,434.613,470.47,375.744,451.924,464.513,464.023,442.714,442.677,3
4,4,4,3,4,467.347,424.348,455.285,468.624,444.231,467.773,437.457,442.344,412.536,450.168,3
2,1,3,3,3,621.382,619.798,618.093,623.013,632.404,625.342,623.224,571.848,562.687,564.506,3
3,2,3,3,2,544.635,559.429,613.526,522.106,572.509,578.469,590.516,594.074,518.927,609.337,2
2,1,1,1,2,467.234,449.245,439.963,440.555,419.698,456.797,454.095,483.55,462.205,423.092,3
4,4,3,4,3,693.482,704.438,735,705.359,681.018,744.636,740.333,745.941,687.842,708.366,3
4,1,1,4,4,302.051,308.655,331.904,343.309,355.031,374.756,349.312,334.645,280.242,266.535,2
1,1,1,4,1,481.065,439.588,478.566,401.496,456.977,455.975,440.468,450.271,465.666,410.497,3
4,2,2,2,1,446.725,407.428,404.556,381.077,418.252,422.516,438.969,461.361,402.311,427.849,3
3,3,3,4,3,608.316,552.417,597.336,611.745,535.503,617.094,540.21,636.715,619.157,614.818,3
3, ,3,4,4,576.643,577.854,584.367,587.648,547.897,586.871,553.356,653.029,611.194,617.139,3
2,2,3,3,2,481.058,512.654,470.972,476.246,499.202,447.741,490.223,469.64,477.739,490.889,3
2,2,3,4,2,358.122,387.59,350.216,373.557,377.903,403.163,410.766,371.529,387.883,362.751,3
3,3,3,4,3,581.117,585.064,638.623,610.149,626.633,644.339,629.722,553.759,563.98,571.032,3
2,2,2,4,3,647.531,630.874,635.095,636.133,625.752,633.188,655.739,701.691,654.559,639.354,3
1,2,2,2,1,455.744,430.746,442.036,437.238,418.499,454.658,402.722,433.582,408.932,426.947,3
1,1,3,2,1,429.962,399.166,418.356,440.156,486.676,465.091,474.991,492.53,486.852,443.83,3
2,1,1,3,1,580.504,569.754,626.65,641.947,615.393,689.575,581.422,633.804,619.136,615.347,3
2,2,3,4,2,534.69,553.303,575.517,539.298,504.225,571.158,554.023,609.96,558.578,568.403,3
3,3,2,4,3,509.618,465.95,501.881,516.892,548.588,526.127,596.389,552.37,520.165,563.615,3
2,1,2,2,2,403.657,409.518,388.769,409.62,431.724,483.522,513.579,432.065,481.268,483.136,3
4,4,4,4,3,653.372,684.215,692.408,639.314,652.771,601.564,660.726,641.905,626.532,583.399,3
2,3,3,2,2,366.976,429.645,436.792,367.327,389.059,369.972,383.078,411.759,398.888,413.494,3
3,2,2,4,3,602.144,680.157,651.945,624.8,625.928,651.41,658.87,622.838,639.793,649.318,3
1,1,1,2,2,522.654,518.026,528.927,544.686,561.85,550.988,574.773,546.056,563.771,541.157,3
4,4,4,4,4,597.729,600.609,557.587,564.548,632.802,655.554,552.065,583.881,625.67,561.161,3
1,1,1,2,1,644.662,605.101,582.606,635.661,662.142,609.661,602.394,622.517,651.037,626.276,3
2,1,1,3,2,632.528,599.383,604.237,579,672.174,608.106,634.35,601.041,690.338,592.438,3
4,4,3,4,4,708.31,709.968,656.778,681.474,741.09,749.896,721.713,664.333,703.207,699.17,3
1,1,1,4,4,506.614,497.657,502.479,496.999,474.269,524.36,497.164,514.551,522.512,492.329,3
3,3,2,3,3,554.135,513.863,552.334,530.234,520.725,531.713,540.822,532.27,524.354,499.363,3
2,2,3,3,2,691.48,687.058,631.431,687.269,698.049,631.776,684.476,678.245,658.432,620.952,3
1,1,3,3,2,564.664,608.353,566.64,588.694,587.254,539.979,593.082,566.157,586.448,579.503,3
4,4,4,4,3,717.841,785.693,827.009,789.226,729.357,768.773,753.299,783.234,718.979,769.387,3
4,3,3,4,4,572.607,633.561,629.019,581.706,599.047,602.576,580.181,611.17,581.108,625.822,3
1,1,2,2,2,444.948,464.335,419.432,448.876,432.865,461.692,457.427,477.473,446.76,450.603,3
3,3,2,4,3,524.701,531.687,540.964,521.247,554.361,510.602,530.552,572.524,493.766,568.926,3
3,3,3,4,3,450.257,473.458,458.251,450.979,480.314,481.198,467.296,410.093,437.978,476.892,3
3,3,3,4,3,700.829,637.013,655.324,629.144,668.202,638.149,655.669,690.598,646.021,684.944,3
2,3,4,4,4,589.267,695.108,664.259,665.335,690.183,632.634,621.253,616.965,654.582,676.89,3
2,1,2,3,2,383.587,406.753,415.962,410.183,416.606,399.685,416.054,414.663,390.398,429.28,3
3,4,4,4,4,642.083,645.679,634.155,647.669,634.704,646.488,604.815,574.949,608.671,727.499,3
3,2, ,4,4,672.732,675.439,650.523,663.431,678.215,665.086,602.31,666.346,677.221,690.536,3
3,2,2,3,3,621.658,616.01,634.524,640.358,561.876,605.683,629.287,560.703,605.237,621.46,3
2,3,3,2,2,436.818,402.188,366.568,431.635,397.224,372.728,406.122,388.334,447.593,403.056,3
2,3,3,3,2,486.363,564.976,511.525,505.12,540.145,508.53,539.735,524.508,553.334,518.609,3
1,1,1,1,1,619.156,606.088,589.898,589.904,620.192,531.815,580.855,609.193,601.108,592.89,3
4,3,4,4,4,609.771,579.634,525.779,631.081,549.96,520.124,576.248,568.713,557.797,575.381,3
2,1,1,2,2,581.372,577.21,594.377,532.373,581.876,598.977,565.976,588.913,551.199,560.568,3
1,1,1,1,1,594.434,570.344,579.929,572.816,577.284,577.77,557.635,579.643,521.687,521.201,3
1,2,2,2,1,702.673,701.323,661.903,633.999,662.555,617.092,577.734,649.817,622.553,625.246,3
1,1,1,2,1,704.843,655.461,639.47,650.898,678.568,682.727,664.834,667.806,649.372,643.401,3
4,1,1,4,4,286.693,287.017,312.541,283.718,277.157,290.174,277.939,305.722,292.436,307.801,3
3,2,3,3,3,605.693,646.306,649.052,639.292,646.047,620.875,636.959,589.815,606.905,611.074,3
1,1,1,4,1,420.586,357.361,382.962,379.905,424.059,456.693,402.926,389.061,375.312,436.6,3
 , , , , ,306.724,292.595,269.295,306.029,270.144,275.685,232.258,240.373,289.65,294.457,3
4,3,3,4,4,454.203,436.333,435.134,466.487,431.483,489.459,455.362,492.837,493.517,470.987,3
2,2,2,3,1,411.639,398.399,383.728,418.183,417.526,414.882,403.782,407.121,429.179,448.241,3
1,2,2,3,2,534.655,513.093,463.248,504.203,485.925,529.04,545.553,485.358,498.841,508.034,3
1,1,3,1,4,492.099,498.664,508.231,522.845,497.594,516.492,575.342,507.949,501.293,544.711,3
1,1,1,4,1,404.209,395.225,404.414,359.674,435.63,425.443,415.958,391.634,413.61,396.274,3
4,3,4,3,4,629.578,595.572,642.905,616.933,678.571,689.211,638.767,676.568,635.732,671.525,3
2,3,3,4,2,497.414,524.049,486.165,473.98,457.704,482.857,520.226,512.682,532.29,520.651,3
1,1,1,1,1,535.372,494.502,557.163,516.677,565.937,559.713,542.259,521.646,484.884,518.698,3
1,1,1,4,1,562.57,593.485,594.495,600.268,542.4,584.478,524.433,543.852,573.382,578.917,3
3,3,2,3,3,608.975,580.604,557.259,603.475,605.375,561.308,595.147,593.872,549.85,571.613,3
2,1,1,2,1,433.07,395.87,421.564,425.248,410.514,421.867,412.088,406.315,420.167,468.877,3
4,4,4,4,4,655.367,612.396,649.234,728.586,689.229,726.206,648.298,692.664,638.262,681.274,3
3,1,2,3,2,566.083,646.521,620.857,655.667,619.883,611.489,612.518,571.204,615.4,640.288,3
3,2,2,3,3,558.68,543.014,532.549,585.806,578.098,595.3,537.509,543.595,470.17,556.001,3
3,3,3,3,2,500.139,554.596,535.246,557.966,593.734,555.959,556.619,578.124,527.219,516.923,3
1,1,1,3,1,612.516,624.679,560.983,612.662,621.874,606.79,671.909,656.935,625.968,716.029,3
1,1,2,2,1,590.251,564.214,599.752,618.082,611.489,633.214,648.488,633.808,601.018,589.233,3
3,3,3,3,3,573.229,597.664,627.282,570.486,632.513,565.239,544.642,602.751,621.549,604.193,3
3,2,2,3,3,544.162,523.155,493.852,584.976,522.361,573.674,566.57,577.19,557.953,534.592,3
2,1,1,4,2,284.395,298.013,320.734,305.992,289.156,268.878,347.462,305.182,294.964,319.46,2
2,1,1,3,2,266.639,293.274,215.199,236.263,271.876,227.421,225.906,251.852,309.134,233.483,3
2,2,2,2,2,582.122,578.18,631.631,591.304,584.11,586.123,540.733,609.089,605.06,578.084,3
3,2,1,3,3,532.873,575.632,630.922,584.053,584.456,625.277,545.496,584.099,611.73,619.333,3
1,1,1,1,1,414.455,487.935,471.341,441.632,475.916,432.817,459.395,473.896,437.01,438.845,3
3,2,3,4,4,580.88,598.84,614.485,583.476,570.63,611.95,631.524,626.327,553.434,588.524,3
3,3,3,4,3,471.756,523.426,490.799,468.623,506.338,532.898,494.878,542.841,554.996,536.406,3
2,2, ,2,2,503.433,466.664,476.142,471.567,461.415,455.994,448.867,468.965,485.867,445.731,3
4,2,3,3,2,365.818,354.971,369.277,371.343,377.98,378.595,326.991,351.86,362.226,361.011,2
3,2,3,3,3,303.055,279.597,248.706,294.017,333.149,320.977,274.727,316.867,286.551,293.416,3
2,1,1,3,1,533.382,511.313,475.999,482.626,520.508,470.975,503.49,466.881,478.913,483.844,3
1,2,1,2,2,574.708,587.801,599.855,545.619,544.295,588.81,515.186,555.645,580.095,547.221,3
3,1,2,4, ,489.814,540.547,523.522,503.203,564.893,524.379,542.801,550.546,548.946,525.032,3
4,3,2,4,4,502.723,590.575,580.822,524.422,515.65,531.575,540.123,514.513,526.695,517.558,3
2,1,2,1,1,549.607,603.378,580.151,549.82,551.273,569.397,552.734,519.108,557.438,610.478,3
3,1,2,3,2,637.974,670.905,681.538,654.834,611.123,672.681,559.612,667.964,654.007,664.017,3
3,2,3,3,3,624.142,557.555,624.251,599.295,608.383,596.748,552.671,579.136,594.467,577.266,3
